IRI,parentId,id,title_cs,title_en,definition_cs,definition_en
https://vocabs.ccmm.cz/registry/codelist/AlternateTitle/AlternativeTitle,,AlternativeTitle,Alternativní název,Alternative Title,"Název, pod kterým je zdroj také známý, používaný jako alternativa k primárnímu názvu.","A title by which the resource is also known, used as an alternative to the primary title."
https://vocabs.ccmm.cz/registry/codelist/AlternateTitle/Subtitle,,Subtitle,Podnázev,Subtitle,"Sekundární název, který doplňuje hlavní název a poskytuje další informace o zdroji.",A secondary title that follows the main title and provides additional information about the resource.
https://vocabs.ccmm.cz/registry/codelist/AlternateTitle/TranslatedTitle,,TranslatedTitle,Přeložený název,Translated Title,"Název, který je překladem primárního názvu do jiného jazyka.",A title that is a translation of the primary title into another language.
https://vocabs.ccmm.cz/registry/codelist/AlternateTitle/Other,,Other,Jiný,Other,"Jakýkoli typ názvu, který není pokryt jinými hodnotami v řízeném slovníku titleType.",Any title type not covered by the other values in the titleType controlled list.
