IRI,parentId,id,title_cs,title_en,definition_cs,definition_en
https://vocabs.ccmm.cz/registry/codelist/LocationRelation/Refers,,Refers,Týká se lokace,Refers to the location,"Jedná se o vztah k lokaci, které se týkají obsahově daná data. Dataset obsahuje data o dané lokaci.",This is a relationship to a location that relates to the content of the data. The dataset contains data about the given location.
https://vocabs.ccmm.cz/registry/codelist/LocationRelation/Collected,,Collected,Získáno v lokaci,Collected in,"Jedná se o určení lokace, kde byla daná data zaznamenána (naměřena, sesbírána...).","This is the determination of the location where the data was collected (measured, recorded, observed etc.)."
https://vocabs.ccmm.cz/registry/codelist/LocationRelation/Processed,,Processed,Zpracováno v lokaci,Processed at location,"Jedná se o určení lokace, kde byla daná data po sběru či naměření dále zpracována.",This is the determination of the location where the data was further processed after collection or measurement.
https://vocabs.ccmm.cz/registry/codelist/LocationRelation/Stored,,Stored,Uchováno v lokaci,Stored at location,"Jedná se o určení lokace, kde byla daná data po sběru, naměření či zpracování uložena a jsou trvale uchovávána.","This is the determination of the location where the data is permanently stored after collection, measurement or processing."
https://vocabs.ccmm.cz/registry/codelist/LocationRelation/Other,,Other,Jiné,Other,,
