IRI;base IRI;parentId;id;title_cs;title_en;definition_cs;definition_en
https://vocabs.ccmm.cz/registry/codelist/DescriptionType/Abstract;https://vocabs.ccmm.cz/registry/codelist/DescriptionType/;;Abstract;Abstrakt;Abstract;Stručný popis zdroje a kontextu, v jehož rámci zdroj vznikl.;A brief description of the resource and the context in which the resource was created.
https://vocabs.ccmm.cz/registry/codelist/DescriptionType/Methods;https://vocabs.ccmm.cz/registry/codelist/DescriptionType/;;Methods;Metodologie;Methods;Metodologie použitá pro studii nebo výzkum.;The methodology employed for the study or research.
https://vocabs.ccmm.cz/registry/codelist/DescriptionType/SeriesInformation;https://vocabs.ccmm.cz/registry/codelist/DescriptionType/;;SeriesInformation;Informace o sérii;Series Information;Informace o sérii, například svazek a číslo.;Information about a repeating series, such as volume, issue, number.
https://vocabs.ccmm.cz/registry/codelist/DescriptionType/TableOfContents;https://vocabs.ccmm.cz/registry/codelist/DescriptionType/;;TableOfContents;Obsah;Table Of Contents;Obsah zdroje.;A listing of the Table of Contents.
https://vocabs.ccmm.cz/registry/codelist/DescriptionType/TechnicalInfo;https://vocabs.ccmm.cz/registry/codelist/DescriptionType/;;TechnicalInfo;Technická informace;Technical Info;Podrobné informace, které mohou souviset s návrhem, implementací, provozem, použitím a/nebo údržbou systému nebo přístroje nebo jiným nastavením procesu získání či ověření datasetu či jiného zdroje.;Detailed information that may be associated with design, implementation, operation, use, and/or maintenance of a process, system, or instrument.
https://vocabs.ccmm.cz/registry/codelist/DescriptionType/Other;https://vocabs.ccmm.cz/registry/codelist/DescriptionType/;;Other;Jiný;Other;Další popisné informace, které nelze zařadit do existující kategorie.;Other description information that does not fit into an existing category.
